F,Gr,Gi,magnitude,phase
1000.0,0.22283403006339675,-0.4190572381677153,-6.473082588948217,-61.998151310183474
2000.0,0.06492526785581264,-0.25205940678861577,-11.690956046000618,-75.55577771148546
3000.0,0.0289881637014434,-0.175442377576456,-15.000334442072113,-80.61784394336424
4000.0,0.01567400737482055,-0.13473669435352703,-17.351904071258602,-83.36456943840537
5000.0,0.008704859321400256,-0.11015161021978301,-19.133145061707197,-85.48152482429147
6000.0,0.005053752113837767,-0.09267747537115446,-20.647621179894568,-86.87872195346918
7000.0,0.0023961677299550468,-0.08135625052367343,-21.78841577531803,-88.31296772571176
8000.0,0.0002099455129677888,-0.07175294999880068,-22.88316759858779,-89.83235591716185
9000.0,-0.001281988430374146,-0.06437708648829296,-23.8236517575363,-91.14082235451515
10000.0,-0.0022882712639479483,-0.058746273852291954,-24.613809193567135,-92.23064425909976
11000.0,-0.0027772471025315658,-0.05360050110393607,-25.404979240052526,-92.96606121591257
12000.0,-0.0030645365650413133,-0.05012309424296438,-25.983038327445243,-93.49872084172459
13000.0,-0.0028638400701014566,-0.04636178544481432,-26.66025699139846,-93.53475867676545
14000.0,-0.002216099773636026,-0.04469306185015447,-26.9845331122074,-92.83867899707063
15000.0,-0.0025723097202292066,-0.04410289840316451,-27.095908487353697,-93.33800527699934
16000.0,-0.0035934591083816815,-0.04309776988088534,-27.28081593517436,-94.76625354851534
17000.0,-0.005412582520191576,-0.04149090285149259,-27.567656774501685,-97.43239324129948
18000.0,-0.006085877856476991,-0.03966812867103503,-27.930127524420897,-98.72229937619576
19000.0,-0.006209815434013394,-0.03833926783770418,-28.2146583706621,-99.2003043918903
20000.0,-0.004326287523852133,-0.037506765608426876,-28.460406294995227,-96.57980966608848
21000.0,-0.003937671565678841,-0.03807148817944621,-28.341791338990866,-95.90501206980079
22000.0,-0.005258817285104715,-0.039747857807701376,-27.938362235772182,-97.53671294082544
23000.0,-0.006980060937626797,-0.040647549089045436,-27.693098573234852,-99.74388606020429
24000.0,-0.006258755312303279,-0.04050789602575048,-27.74674779314861,-98.78314933424778
25000.0,-0.005918745007603366,-0.04175688416595223,-27.499048841765813,-98.06753227136892
26000.0,-0.0085441888424305,-0.04225592871622815,-27.308218543091918,-101.43113582712624
27000.0,-0.014082574817778633,-0.042223658953703995,-27.030812626009787,-108.44474503432059
28000.0,-0.017301578365836186,-0.045340803090016174,-26.279845550389545,-110.88633363041762
29000.0,-0.015606063535908172,-0.05183743246068938,-25.330332853658316,-106.7548313854981
30000.0,-0.020045907839387818,-0.057059332609722374,-24.368030956053396,-109.35723713142953
31000.0,-0.033158614672751295,-0.05817299618193054,-23.483739907588323,-119.68314527065523
32000.0,-0.04183016950650148,-0.06794559126455238,-21.961083666518366,-121.61820337542923
33000.0,-0.05395806531925925,-0.08703690081388686,-19.79353083812834,-121.79662406054999
34000.0,-0.10754346927238218,-0.0775741734837551,-17.548983747784916,-144.19601284452276
35000.0,-0.15769152844385378,-0.03841233917410874,-15.793491781822473,-166.3098474191869
36000.0,-0.1738687741501112,0.053504014456996436,-14.802634645280124,162.89548588348052
37000.0,-0.07298443800585254,0.10701938671196744,-17.75211218598887,124.2929706119996
38000.0,-0.03762978865269833,0.07573002143403203,-21.456309663517,116.42250301763285
39000.0,-0.01919542153824358,0.06358896927462668,-23.55362407307947,106.79734085132674
40000.0,-0.0033650086357573396,0.05023497135208357,-25.960433438608504,93.83225456657374
41000.0,-0.007757014116802188,0.036652604124166537,-28.52761387804219,101.94953162924568
42000.0,-7.237976847318651e-05,0.03458540461710186,-29.222123761330757,90.11990749413604
43000.0,0.0005335157292753429,0.0254528169880941,-31.883375196356383,88.7992007349245
44000.0,-0.0013062943572962212,0.023425045934965846,-32.59290659216396,93.1917852218039
45000.0,0.004485506912145458,0.019782767009969147,-33.85653756708087,77.22486492580943
46000.0,-0.0010642980411721438,0.016067381325801655,-35.8620841528027,93.78971730684728
47000.0,0.0027998162918197924,0.015960021360785673,-35.8076936356419,80.05002617679077
48000.0,-0.0004469944984319987,0.014152806430779976,-36.97881867227738,91.80899722585197
49000.0,0.0032450173885059277,0.012904281001731277,-37.519025823645215,75.88460611415246
50000.0,0.0005766024758476825,0.010085041908473667,-39.91227248738208,86.7277318922846
51000.0,0.0025622463687389294,0.010069812971962477,-39.667120240019464,75.72413446488018
52000.0,0.0005384695505239274,0.007557926944403461,-42.40995741673786,85.92480977912209
53000.0,0.0018834886726030048,0.008746875124629206,-40.966096175728744,77.84789826706653
54000.0,0.00022774562993446056,0.006703036678975583,-43.46955747206695,88.05403934246358
55000.0,0.002156874571126786,0.007661843243555233,-41.98212593947416,74.27763386098097
56000.0,-0.0001248818347566299,0.006128243379627501,-44.25147680197657,91.16741640877913
57000.0,0.0025143272929998577,0.005981082656243407,-43.75767510677719,67.19909103869584
58000.0,-4.251542794349118e-05,0.006263488782386355,-44.06347382647656,90.38890740595777
59000.0,0.0016941465219792646,0.004371190336000808,-46.58022948473995,68.81511467310587
60000.0,0.0011397414594047776,0.006023793057922582,-44.24984366194696,79.28591337338791
61000.0,0.00022022598421607618,0.003651160224978172,-48.735610745640436,86.5482887420502
62000.0,0.002058804201247361,0.004811357056937077,-45.62442353236583,66.83367115222562
63000.0,8.679701785939231e-05,0.004365893083889742,-47.19682190183484,88.86106973672373
64000.0,0.0016026583454415095,0.002722710774782603,-50.00796890802708,59.5178269365792
65000.0,0.0012233550516293793,0.004555824394324352,-46.526283433182115,74.96919603850118
66000.0,-3.5507747574906016e-05,0.0030389208548936854,-50.345019335565304,90.66943220887491
67000.0,0.0018781665033912559,0.0025551617589887393,-49.97559143624229,53.68232857734758
68000.0,0.0010413848199619863,0.0039255747036607384,-47.82657708967653,75.14266981444057
69000.0,-0.00018678221135973573,0.0024929290186026395,-52.041489815519846,94.2848688364741
70000.0,0.0014489382340638823,0.0018060311939476013,-52.707403662409135,51.26071150237546
71000.0,0.001436331169467631,0.003415791545029126,-48.62307982403734,67.193377228876
72000.0,-0.0002646442968829465,0.0026217749716331788,-51.58406511275324,95.76396337732403
73000.0,0.0007686242164350698,0.0012705159520600738,-56.5659259375593,58.82731414760412
74000.0,0.0016090487077017842,0.002253839966257427,-51.15270757053746,54.47641368657367
75000.0,0.00048664842266120617,0.0030614815303905045,-50.17299396523735,80.96791818535131
76000.0,-0.00025450563252103287,0.0017266751823428374,-55.16244394506843,98.38481509408899
77000.0,0.0008109778846093222,0.0009468076959231546,-58.08512672213763,49.41865045647068
78000.0,0.001582477446098201,0.002027091264702637,-51.79579552128839,52.02211841330807
79000.0,0.0005872100371378115,0.0026564312838532377,-51.30683613214897,77.53508954718674
80000.0,-0.0004208320404025016,0.0017607171968039566,-54.844937867633874,103.44218077608296
81000.0,0.00021284803021039223,0.0007404740201791285,-62.2650167516432,73.96279049135838
82000.0,0.0011640325748298653,0.0008171610124779258,-56.94063382058089,35.0691895503228
83000.0,0.0012767975806717066,0.0017264959222436334,-53.36204855973282,53.51591928503998
84000.0,0.0006016954117126146,0.0021633310495726963,-52.973938339747946,74.45695520068979
85000.0,-0.0002452747186696479,0.0017369139620489465,-55.11868297851873,98.03775913821406
86000.0,-0.0003410255467414259,0.0008368715404673187,-60.879627579318594,112.17091876734686
87000.0,0.0002530103646492641,0.00028751475394516243,-68.33632123635441,48.65251689653591
88000.0,0.0009404066848088325,0.00036357958465591303,-59.92869184464416,21.13747500072973
89000.0,0.0013171893166423962,0.0008149887487020978,-56.19934568835929,31.746453993210363
90000.0,0.001296748972453876,0.0013769907620412418,-54.464007578474295,46.718991679420654
91000.0,0.0009320312749990142,0.0017985319690113247,-53.86856194448866,62.606005387130516
92000.0,0.00031577153229281324,0.001868633499052697,-54.44723788906888,80.40847096514136
93000.0,-0.0002421355540127851,0.0015918041959998247,-55.86286222876171,98.64918143179848
94000.0,-0.00036222676414898313,0.0010098489264237743,-59.38923513147354,109.73260629845126
95000.0,-0.0004200625392682384,0.000807034792883457,-60.82096773887953,117.49702922919364
96000.0,-0.00044706387376543364,0.0004731106015900102,-63.72941793723171,133.37860186157178
97000.0,-0.0003242586016405367,5.541828854476491e-05,-69.65713228734644,170.3014162546222
98000.0,-5.388851203473355e-05,-1.3442928893559154e-05,-85.10789309808388,-165.99297937926997
99000.0,-0.00013185964998039564,-3.441959921119382e-05,-77.31148899202947,-165.37040803282346
100000.0,2.3586558186827994e-05,-0.00016846258436832638,-75.38561983640268,-82.0297903864011
